feature,importance
coverage_30d_feat,0.33980327645390596
days_of_stock_30d_feat,0.3230381071023829
stock_qty,0.07317847322698202
stock_value,0.045636307963317135
price_velocity_interaction,0.023768013294964068
retail_price,0.020949740058519805
category_encoded,0.012399534470967494
recent_txns,0.012241649949495417
forecast_60d,0.011484249474808753
forecast_30d,0.01135103304586667
recent_qty,0.011025649337495542
forecast_7d,0.010146765753983718
num_sales,0.010090314595379455
historical_qty,0.010066172931795972
forecast_14d,0.010059365472547741
total_sold,0.009985558836373578
sales_rank_in_store,0.009423433892633198
forecast_acceleration,0.009364745474713549
historical_txns,0.009153422252716224
forecast_confidence_30d,0.008212599080856187
is_perishable,0.0075103000722617315
store_total_txns,0.006412504038169078
price_tier,0.004869768155327923
is_premium,0.003538996364898433
is_budget,0.0012575820079459064
days_since_last_sale,0.0011710861222591113
store_size_encoded,0.0009739720240832865
is_top_10_in_store,0.0007952406056104799
is_top_50_in_store,0.0005613543425009777
stockout_risk_7d,0.0003999100635215027
is_active,0.0003334381261705903
velocity_trend,0.00027702448526795457
is_stable,0.00023085425977886146
recent_avg,0.00018973206864535835
historical_avg,9.891596575240968e-05
is_trending_up,8.129493402524366e-07
is_trending_down,9.567876091614578e-08
is_dormant,0.0
recent_std,0.0
days_since_over_90,0.0
sales_volatility,0.0
