store_id,product_id,forecast_7d,forecast_7d_lower,forecast_7d_upper,forecast_14d,forecast_14d_lower,forecast_14d_upper,forecast_30d,forecast_30d_lower,forecast_30d_upper,forecast_60d,forecast_60d_lower,forecast_60d_upper,forecast_acceleration,forecast_confidence_30d,is_trending_up,is_trending_down,is_stable
store_AA,COMMON00039,81.6,9.3,155.5,161.5,17.5,310.1,338.3,32.1,655.5,649.7,50.3,1286.3,1.0246536352601396,1.8421985815602835,0,0,1
store_AB,COMMON00039,499.3,176.4,815.9,984.3,335.2,1633.2,2051.2,642.2,3447.2,3841.2,1016.1,6641.6,1.0416985409683301,1.3674255350265687,0,0,1
store_AC,COMMON00039,169.2,52.2,282.3,338.0,106.5,565.4,722.4,231.9,1207.7,1441.8,458.2,2408.3,0.999645515774548,1.3505882352941176,0,0,1
store_AD,COMMON00039,365.8,102.6,618.1,731.8,211.1,1240.6,1570.7,460.2,2679.1,3159.4,934.8,5387.1,0.9961964070116831,1.4125923096511332,0,0,1
store_AE,COMMON00039,86.1,15.8,156.4,173.2,33.7,315.7,376.0,74.7,677.2,772.8,167.0,1376.8,0.9736147757255936,1.601967561818665,0,0,1
store_AF,COMMON00039,103.5,9.0,205.7,203.0,15.9,406.1,416.8,28.1,850.1,765.0,36.9,1629.9,1.0566256040291295,1.9716958503238184,0,0,1
store_AG,COMMON00039,157.3,54.0,261.9,311.3,104.4,519.8,652.8,211.4,1094.8,1247.3,366.4,2133.7,1.0279701999738597,1.3530402818195741,0,0,1
store_AH,COMMON00039,113.0,34.9,191.6,226.5,66.1,383.2,486.8,140.7,826.1,986.0,290.5,1672.8,0.9887417604853291,1.407681248716369,0,0,1
store_AI,COMMON00039,498.5,67.1,969.4,969.0,111.9,1921.5,1937.7,172.7,3959.8,3391.7,213.0,7395.3,1.1008546253560938,1.9543296521828881,1,0,0
store_AJ,COMMON00039,107.4,22.8,189.5,214.3,48.6,379.9,456.2,102.5,810.0,910.8,200.0,1617.8,1.0023643603782977,1.5505150120534736,0,0,1
store_BA,COMMON00039,52.6,4.5,104.6,105.3,8.6,209.2,226.7,19.6,447.8,455.9,38.8,899.5,0.9814043161888177,1.8880070546737215,0,0,1
store_BB,COMMON00039,225.0,25.7,446.3,442.5,47.4,883.1,911.2,81.3,1865.0,1699.6,135.2,3606.8,1.0547863862237086,1.9573137276418302,0,0,1
store_BC,COMMON00039,143.4,45.2,241.7,287.5,89.6,486.8,616.6,191.5,1049.3,1259.1,406.0,2117.8,0.9918841648990131,1.390951840441057,0,0,1
store_BD,COMMON00039,77.1,0.1,163.2,154.2,0.8,329.0,330.5,3.2,703.4,659.6,5.9,1401.9,0.9907903191261511,2.1179673321234116,0,0,1
store_BE,COMMON00039,126.9,9.7,246.9,253.7,20.7,498.6,545.3,44.6,1071.8,1091.7,97.7,2149.9,0.991897032385816,1.8833883388338835,0,0,1
store_BF,COMMON00039,111.0,8.4,217.2,218.6,15.2,431.4,451.3,25.8,906.7,843.2,33.9,1752.5,1.047136882487972,1.9514842711564024,0,0,1
store_BG,COMMON00039,262.6,30.5,518.4,514.8,55.6,1022.6,1053.6,103.9,2141.2,1933.1,160.8,4099.7,1.065141559179038,1.9334725253867326,0,0,1
store_BH,COMMON00039,189.2,72.5,306.2,375.7,143.7,607.5,791.8,301.4,1282.8,1541.1,552.8,2529.1,1.0202027464231793,1.2392978911478723,0,0,1
store_BI,COMMON00039,354.8,90.0,605.6,701.1,185.4,1202.2,1466.5,367.5,2535.3,2785.4,620.1,4930.9,1.0347542896028776,1.478112641483704,0,0,1
store_BJ,COMMON00039,312.0,139.6,487.5,623.6,273.0,977.9,1333.7,577.5,2091.2,2667.0,1148.1,4185.1,1.0003313063087131,1.1348777927725295,0,0,1
store_BK,COMMON00039,141.1,35.4,249.2,281.4,67.3,498.2,602.0,150.8,1060.7,1187.8,279.7,2099.9,0.9995277449822902,1.5112107623318387,0,0,1
store_BL,COMMON00039,25.1,0.9,51.6,50.0,2.0,103.6,106.2,4.1,221.5,212.8,9.8,443.1,0.9850863422291993,2.0451552210724366,0,0,1
store_BM,COMMON00039,31.4,4.3,58.2,63.1,9.0,116.8,136.0,21.0,250.8,278.5,47.7,508.1,0.9681397738951697,1.6884643644379134,0,0,1
store_BN,COMMON00039,255.2,14.7,559.5,497.1,26.7,1106.6,1001.7,37.5,2294.2,1776.4,41.6,4341.2,1.0885978756985026,2.2526452385705724,0,0,1
store_BO,COMMON00039,44.4,2.9,92.6,88.8,4.8,186.4,190.0,11.3,400.0,381.0,21.7,800.0,0.9859363434492968,2.04471330878485,0,0,1
store_BP,COMMON00039,234.9,61.5,417.0,470.1,113.8,833.2,1008.0,247.0,1780.6,2031.2,499.7,3574.3,0.9957609156422212,1.5212776510266837,0,0,1
store_BQ,COMMON00039,124.0,36.4,210.7,248.5,74.1,423.4,536.2,167.0,909.1,1081.5,342.9,1827.2,0.9855871131835523,1.3837404437814655,0,0,1
store_BR,COMMON00039,79.0,15.9,142.9,159.0,32.5,286.3,344.4,72.6,620.5,711.6,168.4,1261.2,0.9745867258820629,1.5904208998548621,0,0,1
store_BS,COMMON00039,238.2,12.8,475.0,466.9,22.4,937.8,951.8,33.8,1961.5,1742.3,36.1,3778.6,1.0691842719492488,2.025107679378086,0,0,1
store_BT,COMMON00039,374.2,115.2,645.8,747.8,221.8,1291.9,1606.6,474.8,2757.2,3209.7,925.9,5506.6,0.996343368361261,1.4205514408414763,0,0,1
store_CA,COMMON00039,88.9,7.3,169.9,178.1,18.3,340.0,383.0,38.2,729.3,774.9,84.4,1465.5,0.9870466321243524,1.8039676324719391,0,0,1
store_CB,COMMON00039,56.7,6.1,106.8,113.8,12.5,213.2,246.0,30.1,462.2,501.8,69.8,931.1,0.9759036144578314,1.755790329134498,0,0,1
store_CD,COMMON00039,32.6,1.7,66.1,65.0,3.7,131.6,137.6,6.7,280.6,272.8,12.6,560.7,0.993700467384678,1.9891067538126366,0,0,1
store_CE,COMMON00039,23.5,0.8,47.0,47.3,1.4,94.8,102.0,3.8,204.3,208.8,10.1,414.5,0.9591836734693878,1.9637610186092067,0,0,1
store_CF,COMMON00039,85.5,4.9,173.1,169.3,8.5,345.9,353.3,17.2,731.1,679.5,28.7,1432.1,1.0284270879275088,2.0200905489530276,0,0,1
store_CG,COMMON00039,40.6,1.0,88.5,81.1,2.4,176.1,174.5,5.1,378.6,349.8,12.1,760.2,0.9802816901408451,2.1391752577319587,0,0,1
store_CH,COMMON00039,38.4,4.3,73.4,77.2,8.8,145.8,167.9,22.8,314.5,344.1,53.4,637.1,0.9629691548942574,1.7363095238095236,0,0,1
store_CJ,COMMON00039,16.9,0.0,36.4,33.5,0.1,73.9,69.8,0.3,155.9,136.6,0.3,308.8,0.9948979591836734,2.2260371959942775,0,0,1
store_CK,COMMON00039,25.5,0.6,52.5,51.1,1.7,107.2,109.9,3.5,229.6,223.1,8.5,459.1,0.967986840440339,2.055454545454545,0,0,1
store_CL,COMMON00039,150.6,35.8,262.4,300.7,73.5,525.8,642.0,161.9,1119.3,1277.7,321.6,2237.8,1.0006644518272425,1.491045008565644,0,0,1
store_CM,COMMON00039,19.9,0.0,44.2,40.0,0.1,88.5,85.7,0.1,189.8,174.9,0.3,384.1,0.961507489128684,2.2109557109557114,0,0,1
store_CN,COMMON00039,73.5,4.7,151.5,146.3,10.0,303.2,311.4,21.9,645.6,613.3,40.8,1280.6,1.001908396946565,2.0022471910112363,0,0,1
store_CO,COMMON00039,25.9,0.9,53.3,51.8,1.5,106.9,110.9,2.9,229.7,224.9,7.8,462.4,0.9745390693590869,2.0432432432432432,0,0,1
store_CP,COMMON00039,94.0,31.4,155.9,187.4,64.2,314.3,399.6,129.5,669.7,792.2,252.1,1329.0,1.0006387055567383,1.3515136352264199,0,0,1
store_CQ,COMMON00039,29.8,2.3,59.1,59.3,4.2,118.7,126.2,9.5,253.2,249.5,18.6,505.0,0.988500663423264,1.9295328582739508,0,0,1
